word,bFrequency,bWeight,gFrequency,gWeight,start
wealth,18,1,5,3,FALSE
possible,18,1,5,3,FALSE
mount,18,1,1,1,FALSE
needs,18,1,0,0,FALSE
shouting,18,1,0,0,FALSE
rejected,18,1,0,0,FALSE
widow,18,1,0,0,FALSE
inside,18,1,0,0,FALSE
wickedness,18,1,0,0,FALSE
trumpet,18,1,0,0,FALSE
decided,18,1,0,0,FALSE
linen,18,1,0,0,FALSE
traveled,18,1,0,0,FALSE
seated,18,1,3,2,FALSE
gain,18,1,2,1,FALSE
fully,18,1,1,1,FALSE
although,18,1,2,1,FALSE
lazarus,18,1,0,0,FALSE
thank,18,1,0,0,FALSE
fallen,18,1,0,0,FALSE
regard,18,1,1,1,FALSE
idols,18,1,0,0,FALSE
contrary,18,1,2,1,FALSE
ephesus,18,1,0,0,FALSE
mystery,18,1,4,2,FALSE
confidence,18,1,1,1,FALSE
least,17,1,0,0,FALSE
stopped,17,1,0,0,FALSE
prepare,17,1,0,0,FALSE
root,17,1,0,0,FALSE
point,17,1,2,1,FALSE
walking,17,1,0,0,FALSE
hate,17,1,6,4,FALSE
birds,17,1,1,1,FALSE
leads,17,1,5,3,FALSE
destruction,17,1,9,6,FALSE
wait,17,1,0,0,FALSE
thoughts,17,1,3,2,FALSE
praised,17,1,0,0,FALSE
sending,17,1,0,0,FALSE
betray,17,1,0,0,FALSE
stands,17,1,20,12,FALSE
members,17,1,1,1,FALSE
apart,17,1,0,0,FALSE
condemn,17,1,1,1,FALSE
seeing,17,1,6,4,FALSE
greatly,17,1,0,0,FALSE
stars,17,1,2,1,FALSE
scattered,17,1,0,0,FALSE
release,17,1,1,1,FALSE
crown,17,1,2,1,FALSE
seal,17,1,1,1,FALSE
suddenly,17,1,0,0,FALSE
scroll,17,1,0,0,FALSE
welcomed,17,1,0,0,FALSE
submit,17,1,0,0,FALSE
charges,17,1,0,0,FALSE
greeks,17,1,0,0,FALSE
shepherd,16,1,0,0,FALSE
warned,16,1,0,0,FALSE
raise,16,1,0,0,FALSE
concerning,16,1,2,1,FALSE
foot,16,1,0,0,FALSE
showed,16,1,3,2,FALSE
capernaum,16,1,0,0,FALSE
area,16,1,0,0,FALSE
mourn,16,1,0,0,FALSE
inherit,16,1,0,0,FALSE
subject,16,1,0,0,FALSE
quickly,16,1,0,0,FALSE
commit,16,1,2,1,FALSE
neighbor,16,1,0,0,FALSE
collectors,16,1,0,0,FALSE
giving,16,1,4,2,FALSE
seek,16,1,4,2,FALSE
finds,16,1,5,3,FALSE
practice,16,1,4,2,FALSE
asking,16,1,0,0,FALSE
meet,16,1,0,0,FALSE
silver,16,1,0,0,FALSE
mean,16,1,1,1,FALSE
justice,16,1,0,0,FALSE
grew,16,1,0,0,FALSE
owner,16,1,0,0,FALSE
branches,16,1,1,1,FALSE
buy,16,1,0,0,FALSE
often,16,1,1,1,FALSE
belongs,16,1,3,2,FALSE
early,16,1,0,0,FALSE
quiet,16,1,1,1,FALSE
fig,16,1,1,1,FALSE
question,16,1,1,1,FALSE
rabbi,16,1,0,0,FALSE
descendants,16,1,0,0,FALSE
mighty,16,1,13,8,FALSE
prisoner,16,1,0,0,FALSE
waiting,16,1,0,0,FALSE
riches,16,1,0,0,FALSE
sailed,16,1,0,0,FALSE
harm,16,1,2,1,FALSE
beyond,16,1,18,11,FALSE
witness,16,1,1,1,FALSE
example,16,1,1,1,FALSE
parts,16,1,0,0,FALSE
boasting,16,1,0,0,FALSE
creatures,16,1,4,2,FALSE
careful,15,1,0,0,FALSE
orders,15,1,1,1,FALSE
weeping,15,1,0,0,FALSE
jordan,15,1,0,0,FALSE
burning,15,1,1,1,FALSE
certainly,15,1,1,1,FALSE
hypocrites,15,1,0,0,FALSE
secret,15,1,6,4,FALSE
wash,15,1,0,0,FALSE
air,15,1,3,2,FALSE
measure,15,1,1,1,FALSE
attention,15,1,1,1,FALSE
pigs,15,1,0,0,FALSE
receives,15,1,2,1,FALSE
distance,15,1,0,0,FALSE
bridegroom,15,1,0,0,FALSE
betrayed,15,1,0,0,FALSE
journey,15,1,0,0,FALSE
arrest,15,1,0,0,FALSE
proclaim,15,1,0,0,FALSE
performed,15,1,6,4,FALSE
possessions,15,1,1,1,FALSE
takes,15,1,2,1,FALSE
sister,15,1,0,0,FALSE
parables,15,1,0,0,FALSE
prophecy,15,1,0,0,FALSE
understanding,15,1,2,1,FALSE
caught,15,1,1,1,FALSE
refused,15,1,0,0,FALSE
banquet,15,1,1,1,FALSE
forefathers,15,1,0,0,FALSE
crucify,15,1,0,0,FALSE
heavens,15,1,2,1,FALSE
perfume,15,1,1,1,FALSE
opportunity,15,1,2,1,FALSE
sinned,15,1,0,0,FALSE
guilty,15,1,0,0,FALSE
months,15,1,3,2,FALSE
strength,15,1,3,2,FALSE
trial,15,1,0,0,FALSE
created,15,1,6,4,FALSE
belonged,15,1,0,0,FALSE
freedom,15,1,3,2,FALSE
claim,15,1,1,1,FALSE
perish,15,1,3,2,FALSE
convinced,15,1,1,1,FALSE
realize,15,1,1,1,FALSE
earthly,15,1,4,2,FALSE
remains,15,1,10,6,FALSE
kindness,15,1,1,1,FALSE
damascus,15,1,0,0,FALSE
encourage,15,1,0,0,FALSE
image,15,1,0,0,FALSE
control,15,1,20,12,FALSE
controlled,15,1,11,7,FALSE
titus,15,1,0,0,FALSE
fulfill,14,1,1,1,FALSE
star,14,1,0,0,FALSE
baptist,14,1,0,0,FALSE
sadducees,14,1,0,0,FALSE
keeping,14,1,3,2,FALSE
stones,14,1,0,0,FALSE
moment,14,1,2,1,FALSE
andrew,14,1,0,0,FALSE
murder,14,1,0,0,FALSE
danger,14,1,2,1,FALSE
hell,14,1,2,1,FALSE
offering,14,1,2,1,FALSE
cloak,14,1,0,0,FALSE
fast,14,1,1,1,FALSE
oil,14,1,0,0,FALSE
within,14,1,13,8,FALSE
reap,14,1,0,0,FALSE
puts,14,1,1,1,FALSE
foundation,14,1,0,0,FALSE
lying,14,1,0,0,FALSE
mat,14,1,1,1,FALSE
learn,14,1,1,1,FALSE
guests,14,1,0,0,FALSE
compassion,14,1,2,1,FALSE
welcome,14,1,2,1,FALSE
suppose,14,1,0,0,FALSE
cry,14,1,0,0,FALSE
judges,14,1,0,0,FALSE
brings,14,1,6,4,FALSE
yeast,14,1,0,0,FALSE
worked,14,1,0,0,FALSE
value,14,1,0,0,FALSE
approached,14,1,1,1,FALSE
slander,14,1,0,0,FALSE
overcome,14,1,5,3,FALSE
boy,14,1,0,0,FALSE
greatest,14,1,3,2,FALSE
patient,14,1,0,0,FALSE
wives,14,1,0,0,FALSE
wages,14,1,0,0,FALSE
commandment,14,1,0,0,FALSE
pharisee,14,1,0,0,FALSE
robe,14,1,0,0,FALSE
holding,14,1,1,1,FALSE
deep,14,1,1,1,FALSE
widows,14,1,0,0,FALSE
different,14,1,0,0,FALSE
vision,14,1,8,5,FALSE
writing,14,1,0,0,FALSE
chose,14,1,0,0,FALSE
comfort,14,1,0,0,FALSE
waters,14,1,1,1,FALSE
wonders,14,1,1,1,FALSE
glorified,14,1,0,0,FALSE
encouraged,14,1,0,0,FALSE
festus,14,1,0,0,FALSE
dragon,14,1,0,0,FALSE
straight,13,1,0,0,FALSE
powerful,13,1,3,2,FALSE
proper,13,1,1,1,FALSE
tempted,13,1,0,0,FALSE
splendor,13,1,0,0,FALSE
shown,13,1,1,1,FALSE
break,13,1,1,1,FALSE
enemy,13,1,6,4,FALSE
important,13,1,0,0,FALSE
labor,13,1,0,0,FALSE
run,13,1,0,0,FALSE
rock,13,1,0,0,FALSE
sleeping,13,1,0,0,FALSE
touch,13,1,1,1,FALSE
workers,13,1,0,0,FALSE
lifted,13,1,0,0,FALSE
burden,13,1,0,0,FALSE
shore,13,1,0,0,FALSE
soil,13,1,1,1,FALSE
picked,13,1,0,0,FALSE
wish,13,1,1,1,FALSE
sure,13,1,3,2,FALSE
cause,13,1,9,6,FALSE
sixth,13,1,1,1,FALSE
served,13,1,0,0,FALSE
olives,13,1,0,0,FALSE
wedding,13,1,0,0,FALSE
tenth,13,1,1,1,FALSE
appear,13,1,0,0,FALSE
deceive,13,1,0,0,FALSE
thirsty,13,1,0,0,FALSE
forgiveness,13,1,6,4,FALSE
sorrow,13,1,0,0,FALSE
leading,13,1,0,0,FALSE
envy,13,1,1,1,FALSE
released,13,1,0,0,FALSE
everywhere,13,1,10,6,FALSE
levi,13,1,0,0,FALSE
meant,13,1,0,0,FALSE
continued,13,1,7,4,FALSE
disobedient,13,1,0,0,FALSE
reign,13,1,0,0,FALSE
praising,13,1,0,0,FALSE
roman,13,1,0,0,FALSE
accepted,13,1,0,0,FALSE
sinner,13,1,1,1,FALSE
martha,13,1,0,0,FALSE
authorities,13,1,0,0,FALSE
effort,13,1,6,4,FALSE
eats,13,1,3,2,FALSE
trustworthy,13,1,0,0,FALSE
confident,13,1,0,0,FALSE
deceived,13,1,1,1,FALSE
testifies,13,1,0,0,FALSE
husbands,13,1,0,0,FALSE
language,13,1,2,1,FALSE
glorify,13,1,0,0,FALSE
smoke,13,1,2,1,FALSE
ananias,13,1,0,0,FALSE
letters,13,1,1,1,FALSE
past,13,1,1,1,FALSE
appeal,13,1,0,0,FALSE
especially,13,1,0,0,FALSE
eager,13,1,1,1,FALSE
sufferings,13,1,0,0,FALSE
perseverance,13,1,0,0,FALSE
ungodly,13,1,0,0,FALSE
blameless,13,1,0,0,FALSE
solomon,12,1,0,0,FALSE
accordance,12,1,2,1,FALSE
wild,12,1,0,0,FALSE
baptize,12,1,0,0,FALSE
sandals,12,1,0,0,FALSE
wheat,12,1,0,0,FALSE
zebedee,12,1,0,0,FALSE
healing,12,1,1,1,FALSE
across,12,1,0,0,FALSE
persecute,12,1,0,0,FALSE
lamp,12,1,1,1,FALSE
bowl,12,1,0,0,FALSE
sees,12,1,13,8,FALSE
daily,12,1,0,0,FALSE
worry,12,1,0,0,FALSE
sow,12,1,0,0,FALSE
grow,12,1,0,0,FALSE
prophesy,12,1,0,0,FALSE
wherever,12,1,4,2,FALSE
completely,12,1,1,1,FALSE
worse,12,1,1,1,FALSE
towns,12,1,0,0,FALSE
dark,12,1,1,1,FALSE
disown,12,1,0,0,FALSE
drinking,12,1,0,0,FALSE
tyre,12,1,0,0,FALSE
grain,12,1,0,0,FALSE
lawful,12,1,0,0,FALSE
didn,12,1,0,0,FALSE
burned,12,1,0,0,FALSE
planted,12,1,0,0,FALSE
bought,12,1,0,0,FALSE
arrested,12,1,0,0,FALSE
distressed,12,1,0,0,FALSE
walked,12,1,0,0,FALSE
lips,12,1,1,1,FALSE
urged,12,1,0,0,FALSE
gates,12,1,7,4,FALSE
anger,12,1,9,6,FALSE
joined,12,1,0,0,FALSE
hired,12,1,0,0,FALSE
colt,12,1,0,0,FALSE
bethany,12,1,0,0,FALSE
leaves,12,1,8,5,FALSE
tenants,12,1,0,0,FALSE
dies,12,1,1,1,FALSE
win,12,1,1,1,FALSE
zechariah,12,1,0,0,FALSE
thief,12,1,0,0,FALSE
rooster,12,1,0,0,FALSE
troubled,12,1,0,0,FALSE
forward,12,1,0,0,FALSE
draw,12,1,1,1,FALSE
guards,12,1,0,0,FALSE
silent,12,1,2,1,FALSE
meanwhile,12,1,0,0,FALSE
barabbas,12,1,0,0,FALSE
torn,12,1,1,1,FALSE
magdalene,12,1,0,0,FALSE
week,12,1,0,0,FALSE
whenever,12,1,2,1,FALSE
carefully,12,1,0,0,FALSE
testified,12,1,0,0,FALSE
passing,12,1,2,1,FALSE
form,12,1,23,14,FALSE
holiness,12,1,0,0,FALSE
proclaimed,12,1,1,1,FALSE
spare,12,1,0,0,FALSE
leaders,12,1,1,1,FALSE
sacrificed,12,1,1,1,FALSE
obedience,12,1,0,0,FALSE
natural,12,1,2,1,FALSE
hates,12,1,1,1,FALSE
astray,12,1,0,0,FALSE
fellowship,12,1,0,0,FALSE
godliness,12,1,0,0,FALSE
defense,12,1,0,0,FALSE
sail,12,1,0,0,FALSE
almighty,12,1,4,2,FALSE
shame,12,1,0,0,FALSE
endurance,12,1,0,0,FALSE
golden,12,1,0,0,FALSE
public,11,1,0,0,FALSE
divorce,11,1,0,0,FALSE
report,11,1,0,0,FALSE
withdrew,11,1,0,0,FALSE
flee,11,1,0,0,FALSE
strike,11,1,0,0,FALSE
commandments,11,1,0,0,FALSE
rain,11,1,2,1,FALSE
acts,11,1,24,15,FALSE
masters,11,1,4,2,FALSE
wear,11,1,0,0,FALSE
tomorrow,11,1,1,1,FALSE
clearly,11,1,1,1,FALSE
pick,11,1,0,0,FALSE
winds,11,1,3,2,FALSE
leprosy,11,1,0,0,FALSE
cured,11,1,0,0,FALSE
teeth,11,1,0,0,FALSE
tombs,11,1,0,0,FALSE
cloth,11,1,1,1,FALSE
garment,11,1,0,0,FALSE
names,11,1,0,0,FALSE
thomas,11,1,0,0,FALSE
iscariot,11,1,0,0,FALSE
instructions,11,1,0,0,FALSE
freely,11,1,0,0,FALSE
innocent,11,1,0,0,FALSE
risen,11,1,0,0,FALSE
sidon,11,1,0,0,FALSE
humble,11,1,0,0,FALSE
falls,11,1,3,2,FALSE
recognized,11,1,2,1,FALSE
plants,11,1,1,1,FALSE
thorns,11,1,0,0,FALSE
crop,11,1,0,0,FALSE
separate,11,1,3,2,FALSE
buried,11,1,0,0,FALSE
landed,11,1,0,0,FALSE
keeps,11,1,1,1,FALSE
welcomes,11,1,1,1,FALSE
marriage,11,1,0,0,FALSE
sits,11,1,0,0,FALSE
officials,11,1,0,0,FALSE
spent,11,1,0,0,FALSE
treated,11,1,0,0,FALSE
elect,11,1,0,0,FALSE
shaken,11,1,0,0,FALSE
gained,11,1,3,2,FALSE
cursed,11,1,0,0,FALSE
punishment,11,1,0,0,FALSE
custom,11,1,0,0,FALSE
washed,11,1,2,1,FALSE
hurled,11,1,0,0,FALSE
wrapped,11,1,0,0,FALSE
animals,11,1,0,0,FALSE
half,11,1,0,0,FALSE
greek,11,1,0,0,FALSE
speech,11,1,5,3,FALSE
offerings,11,1,2,1,FALSE
publicly,11,1,0,0,FALSE
revelation,11,1,0,0,FALSE
prisoners,11,1,0,0,FALSE
oppose,11,1,0,0,FALSE
war,11,1,3,2,FALSE
twenty,11,1,0,0,FALSE
blessing,11,1,4,2,FALSE
lie,11,1,0,0,FALSE
act,11,1,32,20,FALSE
behalf,11,1,0,0,FALSE
godly,11,1,6,4,FALSE
gods,11,1,0,0,FALSE
heirs,11,1,0,0,FALSE
offspring,11,1,0,0,FALSE
encouragement,11,1,0,0,FALSE
stephen,11,1,0,0,FALSE
israelites,11,1,0,0,FALSE
island,11,1,0,0,FALSE
apollos,11,1,0,0,FALSE
agrippa,11,1,0,0,FALSE
credited,11,1,0,0,FALSE
patience,11,1,0,0,FALSE
rule,11,1,1,1,FALSE
precious,11,1,2,1,FALSE
sounded,11,1,2,1,FALSE
judah,10,1,0,0,FALSE
babylon,10,1,0,0,FALSE
thus,10,1,51,32,FALSE
considered,10,1,2,1,FALSE
virgin,10,1,0,0,FALSE
escape,10,1,1,1,FALSE
realized,10,1,0,0,FALSE
beside,10,1,0,0,FALSE
various,10,1,5,3,FALSE
loses,10,1,0,0,FALSE
angry,10,1,0,0,FALSE
matters,10,1,1,1,FALSE
court,10,1,1,1,FALSE
looks,10,1,4,2,FALSE
marries,10,1,0,0,FALSE
either,10,1,3,2,FALSE
sends,10,1,0,0,FALSE
steal,10,1,0,0,FALSE
devoted,10,1,3,2,FALSE
recognize,10,1,0,0,FALSE
deserve,10,1,0,0,FALSE
bed,10,1,0,0,FALSE
driven,10,1,0,0,FALSE
acknowledge,10,1,0,0,FALSE
expect,10,1,2,1,FALSE
lame,10,1,0,0,FALSE
proved,10,1,0,0,FALSE
remained,10,1,2,1,FALSE
jonah,10,1,0,0,FALSE
thirty,10,1,0,0,FALSE
otherwise,10,1,1,1,FALSE
understood,10,1,1,1,FALSE
powers,10,1,18,11,FALSE
lack,10,1,1,1,FALSE
tested,10,1,0,0,FALSE
rebuke,10,1,0,0,FALSE
move,10,1,0,0,FALSE
impossible,10,1,1,1,FALSE
change,10,1,1,1,FALSE
listens,10,1,3,2,FALSE
talents,10,1,0,0,FALSE
knees,10,1,0,0,FALSE
robbers,10,1,0,0,FALSE
wall,10,1,0,0,FALSE
trap,10,1,0,0,FALSE
seventh,10,1,1,1,FALSE
questions,10,1,0,0,FALSE
shut,10,1,0,0,FALSE
swears,10,1,0,0,FALSE
greed,10,1,2,1,FALSE
hated,10,1,0,0,FALSE
lightning,10,1,0,0,FALSE
moon,10,1,11,7,FALSE
staying,10,1,0,0,FALSE
clothed,10,1,1,1,FALSE
jar,10,1,0,0,FALSE
watched,10,1,0,0,FALSE
kiss,10,1,0,0,FALSE
fled,10,1,2,1,FALSE
spit,10,1,0,0,FALSE
denied,10,1,0,0,FALSE
remembered,10,1,0,0,FALSE
earthquake,10,1,0,0,FALSE
putting,10,1,0,0,FALSE
driving,10,1,0,0,FALSE
accompanied,10,1,1,1,FALSE
relatives,10,1,2,1,FALSE
eight,10,1,2,1,FALSE
running,10,1,0,0,FALSE
carrying,10,1,0,0,FALSE
younger,10,1,0,0,FALSE
boldly,10,1,0,0,FALSE
elizabeth,10,1,0,0,FALSE
observing,10,1,1,1,FALSE
firstborn,10,1,0,0,FALSE
redemption,10,1,0,0,FALSE
listening,10,1,0,0,FALSE
added,10,1,1,1,FALSE
covered,10,1,1,1,FALSE
tears,10,1,1,1,FALSE
weep,10,1,0,0,FALSE
building,10,1,0,0,FALSE
meaning,10,1,0,0,FALSE
noble,10,1,4,2,FALSE
best,10,1,9,6,FALSE
olive,10,1,0,0,FALSE
worldly,10,1,3,2,FALSE
trust,10,1,0,0,FALSE
warn,10,1,0,0,FALSE
samaria,10,1,0,0,FALSE
talked,10,1,0,0,FALSE
basis,10,1,0,0,FALSE
delivered,10,1,0,0,FALSE
confess,10,1,0,0,FALSE
sinning,10,1,0,0,FALSE
loss,10,1,3,2,FALSE
benefit,10,1,2,1,FALSE
sanctified,10,1,0,0,FALSE
fight,10,1,13,8,FALSE
fearing,10,1,0,0,FALSE
rome,10,1,0,0,FALSE
sincere,10,1,0,0,FALSE
tabernacle,10,1,0,0,FALSE
joppa,10,1,0,0,FALSE
cornelius,10,1,0,0,FALSE
achaia,10,1,0,0,FALSE
felix,10,1,0,0,FALSE
promises,10,1,0,0,FALSE
endure,10,1,1,1,FALSE
instruction,10,1,0,0,FALSE
horses,10,1,2,1,FALSE
overcomes,10,1,1,1,FALSE
horns,10,1,1,1,FALSE
plagues,10,1,0,0,FALSE
disgrace,9,1,2,1,FALSE
east,9,1,0,0,FALSE
incense,9,1,0,0,FALSE
river,9,1,0,0,FALSE
baptizing,9,1,0,0,FALSE
produce,9,1,2,1,FALSE
trees,9,1,1,1,FALSE
lift,9,1,0,0,FALSE
insult,9,1,1,1,FALSE
shine,9,1,0,0,FALSE
fool,9,1,1,1,FALSE
pagans,9,1,0,0,FALSE
honored,9,1,0,0,FALSE
faces,9,1,2,1,FALSE
single,9,1,0,0,FALSE
grass,9,1,1,1,FALSE
likewise,9,1,1,1,FALSE
rose,9,1,0,0,FALSE
drove,9,1,0,0,FALSE
waves,9,1,0,0,FALSE
violent,9,1,1,1,FALSE
rushed,9,1,0,0,FALSE
crossed,9,1,1,1,FALSE
paralytic,9,1,0,0,FALSE
collector,9,1,0,0,FALSE
dinner,9,1,0,0,FALSE
wineskins,9,1,0,0,FALSE
mute,9,1,0,0,FALSE
villages,9,1,0,0,FALSE
worker,9,1,0,0,FALSE
worth,9,1,4,2,FALSE
sodom,9,1,0,0,FALSE
finish,9,1,0,0,FALSE
aware,9,1,0,0,FALSE
blasphemy,9,1,0,0,FALSE
south,9,1,0,0,FALSE
wanting,9,1,0,0,FALSE
produced,9,1,0,0,FALSE
persecution,9,1,0,0,FALSE
formed,9,1,0,0,FALSE
isn,9,1,0,0,FALSE
aren,9,1,0,0,FALSE
basketfuls,9,1,0,0,FALSE
fourth,9,1,1,1,FALSE
terrified,9,1,1,1,FALSE
courage,9,1,3,2,FALSE
enters,9,1,3,2,FALSE
stomach,9,1,0,0,FALSE
crying,9,1,0,0,FALSE
crippled,9,1,0,0,FALSE
established,9,1,1,1,FALSE
treat,9,1,0,0,FALSE
agree,9,1,0,0,FALSE
repay,9,1,0,0,FALSE
united,9,1,1,1,FALSE
mocked,9,1,0,0,FALSE
flogged,9,1,0,0,FALSE
donkey,9,1,0,0,FALSE
reply,9,1,0,0,FALSE
fill,9,1,0,0,FALSE
mountains,9,1,1,1,FALSE
distress,9,1,0,0,FALSE
needed,9,1,0,0,FALSE
palace,9,1,0,0,FALSE
caiaphas,9,1,0,0,FALSE
coins,9,1,0,0,FALSE
flock,9,1,0,0,FALSE
rebellion,9,1,0,0,FALSE
wept,9,1,0,0,FALSE
insults,9,1,0,0,FALSE
proclaiming,9,1,0,0,FALSE
earnestly,9,1,1,1,FALSE
spend,9,1,1,1,FALSE
eaten,9,1,0,0,FALSE
washing,9,1,0,0,FALSE
fail,9,1,1,1,FALSE
started,9,1,0,0,FALSE
ours,9,1,1,1,FALSE
purple,9,1,0,0,FALSE
serving,9,1,1,1,FALSE
completed,9,1,0,0,FALSE
adam,9,1,0,0,FALSE
curse,9,1,0,0,FALSE
abyss,9,1,0,0,FALSE
everybody,9,1,0,0,FALSE
meal,9,1,0,0,FALSE
provide,9,1,0,0,FALSE
try,9,1,4,2,FALSE
older,9,1,0,0,FALSE
rid,9,1,0,0,FALSE
officers,9,1,0,0,FALSE
serves,9,1,1,1,FALSE
strengthen,9,1,0,0,FALSE
assembly,9,1,0,0,FALSE
cover,9,1,0,0,FALSE
fullness,9,1,1,1,FALSE
dare,9,1,0,0,FALSE
prove,9,1,0,0,FALSE
drinks,9,1,0,0,FALSE
stumble,9,1,0,0,FALSE
avoid,9,1,4,2,FALSE
uncircumcised,9,1,0,0,FALSE
impure,9,1,1,1,FALSE
gentile,9,1,0,0,FALSE
sharp,9,1,1,1,FALSE
concern,9,1,0,0,FALSE
ages,9,1,0,0,FALSE
mouths,9,1,6,4,FALSE
weakness,9,1,1,1,FALSE
concerned,9,1,0,0,FALSE
immoral,9,1,0,0,FALSE
thanksgiving,9,1,0,0,FALSE
matthew,8,0,0,0,FALSE
bethlehem,8,0,0,0,FALSE
furious,8,0,0,0,FALSE
fasting,8,0,0,0,FALSE
highest,8,0,20,12,FALSE
net,8,0,0,0,FALSE
nets,8,0,0,0,FALSE
syria,8,0,0,0,FALSE
diseases,8,0,0,0,FALSE
severe,8,0,0,0,FALSE
mountainside,8,0,0,0,FALSE
theirs,8,0,0,0,FALSE
salt,8,0,0,0,FALSE
hill,8,0,0,0,FALSE
reconciled,8,0,0,0,FALSE
street,8,0,0,0,FALSE
close,8,0,1,1,FALSE
temptation,8,0,0,0,FALSE
clothe,8,0,0,0,FALSE
dogs,8,0,0,0,FALSE
clothing,8,0,0,0,FALSE
bears,8,0,0,0,FALSE
plainly,8,0,0,0,FALSE
knelt,8,0,0,0,FALSE
roof,8,0,0,0,FALSE
fever,8,0,0,0,FALSE
re,8,0,1,1,FALSE
pleaded,8,0,0,0,FALSE
prince,8,0,31,19,FALSE
staff,8,0,0,0,FALSE
dust,8,0,1,1,FALSE
cities,8,0,0,0,FALSE
daylight,8,0,0,0,FALSE
prophesied,8,0,0,0,FALSE
actions,8,0,18,11,FALSE
gentle,8,0,2,1,FALSE
haven,8,0,0,0,FALSE
accuse,8,0,0,0,FALSE
path,8,0,21,13,FALSE
produces,8,0,1,1,FALSE
weeds,8,0,0,0,FALSE
mixed,8,0,0,0,FALSE
sows,8,0,0,0,FALSE
treasure,8,0,1,1,FALSE
hid,8,0,0,0,FALSE
instructed,8,0,0,0,FALSE
moved,8,0,0,0,FALSE
sisters,8,0,0,0,FALSE
granted,8,0,0,0,FALSE
getting,8,0,0,0,FALSE
doubt,8,0,7,4,FALSE
surrounding,8,0,0,0,FALSE
vain,8,0,4,2,FALSE
teachings,8,0,1,1,FALSE
feed,8,0,1,1,FALSE
red,8,0,0,0,FALSE
appearance,8,0,0,0,FALSE
discussed,8,0,0,0,FALSE
deny,8,0,0,0,FALSE
six,8,0,4,2,FALSE
grief,8,0,4,2,FALSE
taxes,8,0,0,0,FALSE
won,8,0,0,0,FALSE
owe,8,0,1,1,FALSE
demanded,8,0,0,0,FALSE
fields,8,0,0,0,FALSE
grant,8,0,0,0,FALSE
untie,8,0,0,0,FALSE
stirred,8,0,0,0,FALSE
selling,8,0,0,0,FALSE
heir,8,0,0,0,FALSE
business,8,0,0,0,FALSE
wearing,8,0,0,0,FALSE
finger,8,0,0,0,FALSE
exalted,8,0,0,0,FALSE
beautiful,8,0,1,1,FALSE
alarmed,8,0,0,0,FALSE
pains,8,0,0,0,FALSE
winter,8,0,0,0,FALSE
inner,8,0,2,1,FALSE
noah,8,0,0,0,FALSE
ark,8,0,0,0,FALSE
lamps,8,0,0,0,FALSE
crows,8,0,0,0,FALSE
persuaded,8,0,0,0,FALSE
rescue,8,0,1,1,FALSE
top,8,0,0,0,FALSE
gets,8,0,0,0,FALSE
countryside,8,0,0,0,FALSE
helped,8,0,0,0,FALSE
nearby,8,0,0,0,FALSE
view,8,0,0,0,FALSE
deeply,8,0,0,0,FALSE
plot,8,0,0,0,FALSE
thunder,8,0,0,0,FALSE
sickle,8,0,0,0,FALSE
trembling,8,0,1,1,FALSE
refuse,8,0,2,1,FALSE
regarded,8,0,0,0,FALSE
robes,8,0,1,1,FALSE
punished,8,0,0,0,FALSE
task,8,0,0,0,FALSE
proud,8,0,1,1,FALSE
shared,8,0,0,0,FALSE
obedient,8,0,0,0,FALSE
reject,8,0,0,0,FALSE
turning,8,0,1,1,FALSE
beg,8,0,0,0,FALSE
almost,8,0,0,0,FALSE
samaritan,8,0,0,0,FALSE
followers,8,0,0,0,FALSE
thousands,8,0,2,1,FALSE
plenty,8,0,1,1,FALSE
drunk,8,0,0,0,FALSE
unbelievers,8,0,0,0,FALSE
citizen,8,0,0,0,FALSE
sulfur,8,0,0,0,FALSE
eagerly,8,0,1,1,FALSE
dispute,8,0,0,0,FALSE
less,8,0,2,1,FALSE
accepts,8,0,3,2,FALSE
spring,8,0,4,2,FALSE
aramaic,8,0,0,0,FALSE
mere,8,0,1,1,FALSE
liar,8,0,0,0,FALSE
strangers,8,0,0,0,FALSE
remind,8,0,0,0,FALSE
obeyed,8,0,0,0,FALSE
choose,8,0,0,0,FALSE
special,8,0,0,0,FALSE
dragged,8,0,0,0,FALSE
necessary,8,0,1,1,FALSE
further,8,0,3,2,FALSE
cyprus,8,0,0,0,FALSE
nevertheless,8,0,4,2,FALSE
jealousy,8,0,0,0,FALSE
cilicia,8,0,0,0,FALSE
divine,8,0,45,28,FALSE
receiving,8,0,0,0,FALSE
humility,8,0,2,1,FALSE
zealous,8,0,0,0,FALSE
ignorant,8,0,15,9,FALSE
commend,8,0,0,0,FALSE
sing,8,0,1,1,FALSE
pride,8,0,7,4,FALSE
sexually,8,0,0,0,FALSE
prostitute,8,0,0,0,FALSE
melchizedek,8,0,0,0,FALSE
inhabitants,8,0,1,1,FALSE
dream,7,0,0,0,FALSE
woke,7,0,0,0,FALSE
search,7,0,0,0,FALSE
presented,7,0,1,1,FALSE
mourning,7,0,0,0,FALSE
merciful,7,0,2,1,FALSE
paid,7,0,0,0,FALSE
commits,7,0,0,0,FALSE
swear,7,0,0,0,FALSE
streets,7,0,0,0,FALSE
store,7,0,1,1,FALSE
sacred,7,0,4,2,FALSE
pearls,7,0,1,1,FALSE
tear,7,0,0,0,FALSE
wide,7,0,1,1,FALSE
perform,7,0,4,2,FALSE
gnashing,7,0,0,0,FALSE
storm,7,0,0,0,FALSE
herd,7,0,0,0,FALSE
